Role Track Example Name,Assumed Lv,Question Set,Question ID,Question Type
Software Developer,"Junior
0 to 2 years experience or fresh graduate
Knows fundamentals of programming, data structures, and basic software development practices
Has done projects or internships
Not expected to design complex systems end-to-end",B,8,Specific
Software Developer,"Junior
0 to 2 years experience or fresh graduate
Knows fundamentals of programming, data structures, and basic software development practices
Has done projects or internships
Not expected to design complex systems end-to-end",B,9,Specific
Software Developer,"Junior
0 to 2 years experience or fresh graduate
Knows fundamentals of programming, data structures, and basic software development practices
Has done projects or internships
Not expected to design complex systems end-to-end",B,10,Situational​
Consultant,"Junior
0 to 2 years experience or fresh graduate
Understands basic consulting concepts and problem-solving frameworks
Has done case studies, internships, or project-based work
Not expected to lead client engagements or design end-to-end strategies",A,1,Behavioral ​
Consultant,"Junior
0 to 2 years experience or fresh graduate
Understands basic consulting concepts and problem-solving frameworks
Has done case studies, internships, or project-based work
Not expected to lead client engagements or design end-to-end strategies",A,2,Behavioral ​
Consultant,"Junior
0 to 2 years experience or fresh graduate
Understands basic consulting concepts and problem-solving frameworks
Has done case studies, internships, or project-based work
Not expected to lead client engagements or design end-to-end strategies",A,3,Specific
Consultant,"Junior
0 to 2 years experience or fresh graduate
Understands basic consulting concepts and problem-solving frameworks
Has done case studies, internships, or project-based work
Not expected to lead client engagements or design end-to-end strategies",A,4,Specific
Consultant,"Junior
0 to 2 years experience or fresh graduate
Understands basic consulting concepts and problem-solving frameworks
Has done case studies, internships, or project-based work
Not expected to lead client engagements or design end-to-end strategies",A,5,Situational​
Consultant,"Junior
0 to 2 years experience or fresh graduate
Understands basic consulting concepts and problem-solving frameworks
Has done case studies, internships, or project-based work
Not expected to lead client engagements or design end-to-end strategies",B,6,Behavioral ​
Consultant,"Junior
0 to 2 years experience or fresh graduate
Understands basic consulting concepts and problem-solving frameworks
Has done case studies, internships, or project-based work
Not expected to lead client engagements or design end-to-end strategies",B,7,Behavioral ​
Consultant,"Junior
0 to 2 years experience or fresh graduate
Understands basic consulting concepts and problem-solving frameworks
Has done case studies, internships, or project-based work
Not expected to lead client engagements or design end-to-end strategies",B,8,Specific
Consultant,"Junior
0 to 2 years experience or fresh graduate
Understands basic consulting concepts and problem-solving frameworks
Has done case studies, internships, or project-based work
Not expected to lead client engagements or design end-to-end strategies",B,9,Specific
Consultant,"Junior
0 to 2 years experience or fresh graduate
Understands basic consulting concepts and problem-solving frameworks
Has done case studies, internships, or project-based work
Not expected to lead client engagements or design end-to-end strategies",B,10,Situational​
Product Owner,"Junior
0 to 2 years experience or fresh graduate
Understands basic product concepts such as user needs, requirements, and prioritization
Has done projects, internships, or worked closely with developers or stakeholders
Not expected to own product strategy or roadmap end-to-end",A,1,Behavioral ​
Product Owner,"Junior
0 to 2 years experience or fresh graduate
Understands basic product concepts such as user needs, requirements, and prioritization
Has done projects, internships, or worked closely with developers or stakeholders
Not expected to own product strategy or roadmap end-to-end",A,2,Behavioral ​
Product Owner,"Junior
0 to 2 years experience or fresh graduate
Understands basic product concepts such as user needs, requirements, and prioritization
Has done projects, internships, or worked closely with developers or stakeholders
Not expected to own product strategy or roadmap end-to-end",A,3,Specific
Product Owner,"Junior
0 to 2 years experience or fresh graduate
Understands basic product concepts such as user needs, requirements, and prioritization
Has done projects, internships, or worked closely with developers or stakeholders
Not expected to own product strategy or roadmap end-to-end",A,4,Specific
Product Owner,"Junior
0 to 2 years experience or fresh graduate
Understands basic product concepts such as user needs, requirements, and prioritization
Has done projects, internships, or worked closely with developers or stakeholders
Not expected to own product strategy or roadmap end-to-end",A,5,Situational​
Product Owner,"Junior
0 to 2 years experience or fresh graduate
Understands basic product concepts such as user needs, requirements, and prioritization
Has done projects, internships, or worked closely with developers or stakeholders
Not expected to own product strategy or roadmap end-to-end",B,6,Behavioral ​
Product Owner,"Junior
0 to 2 years experience or fresh graduate
Understands basic product concepts such as user needs, requirements, and prioritization
Has done projects, internships, or worked closely with developers or stakeholders
Not expected to own product strategy or roadmap end-to-end",B,7,Behavioral ​
Product Owner,"Junior
0 to 2 years experience or fresh graduate
Understands basic product concepts such as user needs, requirements, and prioritization
Has done projects, internships, or worked closely with developers or stakeholders
Not expected to own product strategy or roadmap end-to-end",B,8,Specific
Product Owner,"Junior
0 to 2 years experience or fresh graduate
Understands basic product concepts such as user needs, requirements, and prioritization
Has done projects, internships, or worked closely with developers or stakeholders
Not expected to own product strategy or roadmap end-to-end",B,9,Specific
Product Owner,"Junior
0 to 2 years experience or fresh graduate
Understands basic product concepts such as user needs, requirements, and prioritization
Has done projects, internships, or worked closely with developers or stakeholders
Not expected to own product strategy or roadmap end-to-end",B,10,Situational​
Mobile Application Developer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,1,Behavioral ​
Mobile Application Developer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,2,Behavioral ​
Mobile Application Developer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,3,Specific
Mobile Application Developer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,4,Specific
Mobile Application Developer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,5,Situational​
Mobile Application Developer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,6,Behavioral ​
Mobile Application Developer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,7,Behavioral ​
Mobile Application Developer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,8,Specific
Mobile Application Developer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,9,Specific
Mobile Application Developer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,10,Situational​
Cloud Solutions Architect,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,1,Behavioral ​
Cloud Solutions Architect,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,2,Behavioral ​
Cloud Solutions Architect,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,3,Specific
Cloud Solutions Architect,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,4,Specific
Cloud Solutions Architect,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,5,Situational​
Cloud Solutions Architect,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,6,Behavioral ​
Cloud Solutions Architect,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,7,Behavioral ​
Cloud Solutions Architect,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,8,Specific
Cloud Solutions Architect,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,9,Specific
Cloud Solutions Architect,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,10,Situational​
Cybersecurity Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,1,Behavioral ​
Cybersecurity Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,2,Behavioral ​
Cybersecurity Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,3,Specific
Cybersecurity Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,4,Specific
Cybersecurity Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,5,Situational​
Cybersecurity Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,6,Behavioral ​
Cybersecurity Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,7,Behavioral ​
Cybersecurity Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,8,Specific
Cybersecurity Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,9,Specific
Cybersecurity Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,10,Situational​
Financial Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,1,Behavioral ​
Financial Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,2,Behavioral ​
Financial Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,3,Specific
Financial Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,4,Specific
Financial Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,5,Situational​
Financial Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,6,Behavioral ​
Financial Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,7,Behavioral ​
Financial Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,8,Specific
Financial Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,9,Specific
Financial Analyst,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,10,Situational​
Accountant,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,1,Behavioral ​
Accountant,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,2,Behavioral ​
Accountant,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,3,Specific
Accountant,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,4,Specific
Accountant,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,5,Situational​
Accountant,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,6,Behavioral ​
Accountant,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,7,Behavioral ​
Accountant,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,8,Specific
Accountant,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,9,Specific
Accountant,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,10,Situational​
Compliance Officer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,1,Behavioral ​
Compliance Officer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,2,Behavioral ​
Compliance Officer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,3,Specific
Compliance Officer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,4,Specific
Compliance Officer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,5,Situational​
Compliance Officer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,6,Behavioral ​
Compliance Officer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,7,Behavioral ​
Compliance Officer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,8,Specific
Compliance Officer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,9,Specific
Compliance Officer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,10,Situational​
Manufacturing Process Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,1,Behavioral ​
Manufacturing Process Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,2,Behavioral ​
Manufacturing Process Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,3,Specific
Manufacturing Process Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,4,Specific
Manufacturing Process Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,5,Situational​
Manufacturing Process Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,6,Behavioral ​
Manufacturing Process Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,7,Behavioral ​
Manufacturing Process Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,8,Specific
Manufacturing Process Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,9,Specific
Manufacturing Process Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",B,10,Situational​
Bioprocess Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,1,Behavioral ​
Bioprocess Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,2,Behavioral ​
Bioprocess Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,3,Specific
Bioprocess Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,4,Specific
Bioprocess Engineer,"Junior
0 to 2 years of experience or fresh graduate
Understands fundamental concepts relevant to the role and basic professional practices
Has completed academic projects, internships, or collaborated with team members or stakeholders
Not expected to independently own high-level strategy or lead large-scale initiatives end-to-end",A,5,Situational​
